,,,人口密度,人口,面積(km2),
337,山形県,大蔵村,14.30731431,3028,21164,1.342331993
338,山形県,鮭川村,31.94694613,3902,12214,1.696151637
339,山形県,戸沢村,16.06903678,4199,26131,1.390580126
340,山形県,高畠町,124.6144458,22463,18026,2.690982194
341,山形県,川西町,87.38295318,14558,16660,2.387708214
342,山形県,小国町,9.635826238,7107,73756,1.199885123
343,山形県,白鷹町,81.73229345,12890,15771,2.33716255
344,山形県,飯豊町,20.07528612,6613,32941,1.480183802
345,山形県,三川町,228.807947,7601,3322,3.180356117
346,山形県,庄内町,80.87249669,20151,24917,2.325674899
347,山形県,遊佐町,62.53659005,13032,20839,2.137277427
348,福島県,福島市,368.2240921,282693,76772,3.559448593
349,福島県,会津若松市,306.4887589,117376,38297,3.417001723
350,福島県,郡山市,432.768093,327692,75720,3.66743251
351,福島県,いわき市,270.1243803,332931,123251,3.329695577
352,福島県,白河市,194.8480283,59491,30532,3.037909248
353,福島県,須賀川市,268.3749061,74992,27943,3.320505457
354,福島県,喜多方市,80.70245028,44760,55463,2.323377369
355,福島県,相馬市,176.2728146,34865,19779,2.92992533
356,福島県,二本松市,155.4990999,53557,34442,2.838024124
357,福島県,田村市,76.73292169,35169,45833,2.286616887
358,福島県,南相馬市,148.038035,59005,39858,2.812751292
359,福島県,伊達市,219.6741098,58240,26512,3.143595635
360,福島県,本宮市,343.512838,30236,8802,3.51120046
361,福島県,桑折町,266.674424,11459,4297,3.313612866
362,福島県,国見町,227.6416337,8639,3795,3.175761057
363,福島県,川俣町,95.30148786,12170,12770,2.48420448
364,福島県,大玉村,112.0342397,8900,7944,2.617461229
365,福島県,鏡石町,393.5463259,12318,3130,3.621481907
366,福島県,天栄村,23.03121674,5194,22552,1.539919586
367,福島県,下郷町,16.60358314,5264,31704,1.408960368
368,福島県,檜枝岐村,1.290785228,504,39046,1.00459506
369,福島県,只見町,5.409599229,4044,74756,1.096496267
370,福島県,南会津町,16.3017361,14451,88647,1.397472717
371,福島県,北塩原村,10.91934381,2556,23408,1.250430787
372,福島県,西会津町,19.35072775,5770,29818,1.470993682
373,福島県,磐梯町,55.57972227,3322,5977,2.066053992
374,福島県,猪苗代町,34.32189439,13552,39485,1.728317059
375,福島県,会津坂下町,164.5157768,15068,9159,2.877082137
376,福島県,湯川村,188.2101405,3081,1637,2.987363584
377,福島県,柳津町,17.52360369,3081,17582,1.434233199
378,福島県,三島町,15.98942848,1452,9081,1.388282596
379,福島県,金山町,6.335057158,1862,29392,1.126364159
380,福島県,昭和村,5.94862981,1246,20946,1.112578978
381,福島県,会津美里町,68.80903268,19014,27633,2.210798392
382,福島県,西郷村,108.3411434,20808,19206,2.580700747
383,福島県,泉崎村,175.3598645,6213,3543,2.9276278
384,福島県,中島村,258.192389,4885,1892,3.281447444
385,福島県,矢吹町,286.2086093,17287,6040,3.361860999
386,福島県,棚倉町,83.43025073,13343,15993,2.357840322
387,福島県,矢祭町,45.59059778,5392,11827,1.905226881
388,福島県,塙町,39.26966558,8302,21141,1.806433084
389,福島県,鮫川村,23.21455764,3049,13134,1.546812177
390,福島県,石川町,126.5577737,14644,11571,2.704767375
391,福島県,玉川村,136.9616456,6392,4667,2.757610569
392,福島県,平田村,62.36351959,5826,9342,2.134979897
393,福島県,浅川町,161.2610206,6036,3743,2.860999426
394,福島県,古殿町,29.54865577,4825,16329,1.652498564
395,福島県,三春町,233.8922485,17018,7276,3.201033889
396,福島県,小野町,75.65905097,9471,12518,2.272831706
397,福島県,広野町,92.21332425,5412,5869,2.442848937
398,福島県,楢葉町,35.79698958,3710,10364,1.755887421
399,福島県,富岡町,31.11566018,2128,6839,1.680068926
400,福島県,川内村,10.35723334,2044,19735,1.220562895
401,福島県,大熊町,10.76102147,847,7871,1.241240666
402,福島県,双葉町,0,0,5142,1.00229753
403,福島県,浪江町,8.61790804,1923,22314,1.179207352
404,福島県,葛尾村,4.978072775,420,8437,1.085008616
405,福島県,新地町,169.2719486,7905,4670,2.911545089
406,福島県,飯舘村,5.727197671,1318,23013,1.105686387
407,茨城県,水戸市,1245.559544,270685,21732,4.292360712
408,茨城県,日立市,773.0828866,174508,22573,4.005169443
409,茨城県,土浦市,1156.107088,142074,12289,4.251005169
410,茨城県,古河市,1127.561094,139344,12358,4.232624928
